step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,snr_diag_median,snr_offdiag_median,spearman_absC_snr
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00012765669089276344,2.2709593772888184,-0.001242629368789494,3.1012399196624756,0.0006667858106084168,0.17869079113006592,0.24695239961147308,0.0071350159123539925,0.5406339764595032,1.5317379236221313,0.0022313075605779886,25.372739791870117,-5.947783279225405e-07,6.176881470310036e-06,0.00012238432827871293,0.23946186900138855,0.2568455934524536,0.009684959426522255,0.48763638734817505,1.5087250471115112,0.25001856684684753,0.23148830235004425,0.9052308201789856
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0009475906263105571,2.214273452758789,3.199407046849956e-06,2.314188003540039,0.00030485016759485006,0.12886500358581543,0.271420955657959,0.014071847312152386,0.7461851835250854,1.3412326574325562,0.008437978103756905,74.5898208618164,1.9585277186706662e-05,1.2453672752599232e-05,0.0007772112148813903,0.2005915641784668,0.29554837942123413,0.011245375499129295,0.5743337273597717,1.3901336193084717,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.000920954393222928,1.9756115674972534,-0.0022691625636070967,4.29911470413208,0.00037342484574764967,0.12534405291080475,0.2713451683521271,0.002885092981159687,0.7305022478103638,1.4794909954071045,0.008237073197960854,19.446687698364258,1.1329912922519725e-05,1.205518583446974e-05,0.00015664650709368289,0.2204146832227707,0.2811431586742401,0.010126658715307713,0.5452868342399597,1.4345495700836182,,,
20,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002658850571606308,1.605337381362915,-0.0006986916996538639,7.400753974914551,1.766035711625591e-05,0.1444154679775238,0.3690033555030823,0.007477120961993933,0.548316478729248,1.4452345371246338,0.011913248337805271,64.79647064208984,1.0465392733749468e-05,1.7091490008169785e-05,4.818244997295551e-05,0.12400089204311371,0.40328308939933777,0.004388725850731134,0.7389061450958252,1.5494939088821411,,,
20,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00015788088785484433,2.988433837890625,0.00024234245938714594,1.6753604412078857,0.00040555777377448976,0.18544934689998627,0.26333358883857727,0.004215719178318977,0.49026167392730713,1.542008638381958,0.001597610185854137,125.16275024414062,7.964692372297577e-07,3.910673513018992e-06,0.00011867377907037735,0.22140681743621826,0.27550968527793884,0.009871382266283035,0.49512895941734314,1.4989343881607056,0.11584553122520447,0.11331497877836227,0.9009804725646973
20,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010565624106675386,2.7855846881866455,1.366164497085265e-07,1.5381085872650146,0.00019883808272425085,0.2527789771556854,0.22369638085365295,0.003648488549515605,0.550210177898407,1.4629958868026733,0.009493712335824966,33.44269561767578,1.2750054338539485e-05,8.696985787537415e-06,0.00012413467629812658,0.16391462087631226,0.3403376638889313,0.005327679216861725,0.6648854613304138,1.5123029947280884,,,
20,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0008688904927112162,1.552791714668274,-0.0029876171611249447,1.6302443742752075,0.00013197868247516453,0.1735161393880844,0.2569103240966797,0.0031315204687416553,0.6640774011611938,1.4626282453536987,0.0039846403524279594,66.04618072509766,-4.691028607339831e-06,4.710646862804424e-06,5.9681464335881174e-05,0.23858033120632172,0.25826218724250793,0.008481807075440884,0.5213853120803833,1.4313621520996094,,,
20,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0007650377810932696,1.3175967931747437,-0.0008137879776768386,3.5873403549194336,1.942989183589816e-05,0.044934675097465515,0.6358488202095032,0.006368520203977823,0.7463645935058594,1.4549518823623657,0.013836044818162918,13.887880325317383,1.7208708413818385e-06,1.0985979315591976e-05,5.0094844482373446e-05,0.09238016605377197,0.44209903478622437,0.003651545848697424,0.8005789518356323,1.5466126203536987,,,
20,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00015608173271175474,2.205744981765747,0.0003632460138760507,1.2423065900802612,0.0005648454534821212,0.20032937824726105,0.22703687846660614,0.006958189886063337,0.3800729513168335,1.526747703552246,0.0015175079461187124,119.2596664428711,2.9628853326357785e-07,3.4318125017307466e-06,9.601430065231398e-05,0.24846619367599487,0.25592634081840515,0.009658196941018105,0.47716617584228516,1.4951751232147217,0.0977410301566124,0.10296019911766052,0.8726201057434082
20,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.000977731542661786,2.5227015018463135,-8.904992682801094e-06,1.1005703210830688,0.00032979692332446575,0.24735555052757263,0.21004538238048553,0.009778282605111599,0.5850945711135864,1.3540115356445312,0.007317164447158575,49.54436111450195,-4.031366643175716e-06,6.578003194590565e-06,0.0002490340848453343,0.18871042132377625,0.3206433951854706,0.007224443834275007,0.6243648529052734,1.470278024673462,,,
