step,matrix,m,n,r_null,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,snr_diag_median,snr_offdiag_median,spearman_absC_snr,rho_sigma_absmed,rho_frame_absmed
20,model.layers.7.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001244106242666021,2.424795150756836,-0.00010720410500653088,0.21733076870441437,0.0009773134952411056,0.16937723755836487,0.2722024917602539,0.00894340593367815,0.534855306148529,1.5362870693206787,0.0003528965462464839,66.63079833984375,-9.785222232494561e-08,9.583243809174746e-06,8.244474156526849e-05,0.25805944204330444,0.23460595309734344,0.00991077534854412,0.4488981366157532,1.4990280866622925,0.06954576075077057,0.07162041962146759,0.8907825946807861,0.30682650208473206,0.30365532636642456
20,model.layers.7.self_attn.k_proj.weight,512,1024,0.0009765625,0.0011902358382940292,3.1595630645751953,1.0458124052092899e-05,0.16008169949054718,0.0009931536624208093,0.14087599515914917,0.2481578290462494,0.023267997428774834,0.7256486415863037,1.3277170658111572,0.0009605769300833344,49.35652160644531,4.161220658716047e-06,1.0031601050286554e-05,0.00013364333426579833,0.17696599662303925,0.3026861548423767,0.01118240226060152,0.6329147815704346,1.386637568473816,,,,,
20,model.layers.7.self_attn.v_proj.weight,512,1024,0.0009765625,0.0009023987222462893,1.6603904962539673,-0.0003046181227546185,0.316007524728775,0.0004058908671140671,0.1235850378870964,0.2612850069999695,0.003170023439452052,0.7592847347259521,1.4832884073257446,0.0009762321133166552,63.479557037353516,2.5313279365946073e-06,1.0041563655249774e-05,3.505641871015541e-05,0.23303912580013275,0.25785595178604126,0.008916756138205528,0.5228370428085327,1.4838041067123413,,,,,
20,model.layers.7.self_attn.o_proj.weight,1024,2048,0.00048828125,0.0002227466320618987,2.001495361328125,-0.00010054024460259825,0.4870605766773224,4.106523920199834e-05,0.14048926532268524,0.3644924461841583,0.015391558408737183,0.5328764319419861,1.421608567237854,0.0004810724640265107,14.435772895812988,-4.919328148389468e-06,3.253879549447447e-05,1.1076345799665432e-05,0.06258808076381683,0.4312858581542969,0.0019034206634387374,0.8725740909576416,1.5537933111190796,,,,,
20,model.layers.15.self_attn.q_proj.weight,4096,1024,0.000244140625,0.00013473241415340453,4.167259216308594,-1.5203087059489917e-05,0.2094453126192093,0.00020138760737609118,0.2102004885673523,0.24443775415420532,0.003223101608455181,0.4473446309566498,1.5495432615280151,0.00038845764356665313,89.54792785644531,9.826161431192304e-07,9.237333870260045e-06,7.163658301578835e-05,0.23145586252212524,0.25648564100265503,0.00987277738749981,0.4600410461425781,1.5073922872543335,0.06272652745246887,0.05968225747346878,0.8913727402687073,,
20,model.layers.15.self_attn.k_proj.weight,512,1024,0.0009765625,0.0010145783890038729,5.643721580505371,1.8532904277890339e-06,0.17676898837089539,0.0001327355857938528,0.25192543864250183,0.2394537776708603,0.0044249859638512135,0.5427103638648987,1.4568239450454712,0.0009230488212779164,16.69461441040039,-1.3745350770477671e-05,1.0457535609020852e-05,5.286149098537862e-05,0.14789998531341553,0.34239277243614197,0.004673258867114782,0.6968882083892822,1.516440510749817,,,,,
20,model.layers.15.self_attn.v_proj.weight,512,1024,0.0009765625,0.0007980344817042351,1.9300153255462646,-0.0009297487558797002,0.17852427065372467,6.48273853585124e-05,0.19012175500392914,0.2505986988544464,0.0033027478493750095,0.6341862082481384,1.4549598693847656,0.0010767740895971656,43.92290115356445,1.3570945611718344e-06,8.544455340597779e-06,3.73328075511381e-05,0.2562289834022522,0.2391936331987381,0.006920033134520054,0.5160423517227173,1.4524472951889038,,,,0.30579888820648193,0.2905784249305725
20,model.layers.15.self_attn.o_proj.weight,1024,2048,0.00048828125,0.00035051265149377286,1.7545480728149414,-0.000290349533315748,0.3442418873310089,2.433557529002428e-05,0.08366404473781586,0.4677668809890747,0.009783115237951279,0.5903194546699524,1.442275881767273,0.0004837680025957525,11.691267013549805,-2.2878182335261954e-06,2.361857332289219e-05,2.0874063920928165e-05,0.0927768349647522,0.3904399573802948,0.0035476619377732277,0.8068587183952332,1.546737551689148,,,,,
20,model.layers.19.self_attn.q_proj.weight,4096,1024,0.000244140625,0.0001737191341817379,3.147747755050659,0.000254911370575428,0.13673807680606842,0.0005214207922108471,0.2157549113035202,0.23298749327659607,0.008325821720063686,0.4251023232936859,1.5258750915527344,0.00035163876600563526,55.919219970703125,1.595491426087392e-06,9.6941284937202e-06,0.00010242185089737177,0.25196096301078796,0.23306439816951752,0.010212653316557407,0.4097807705402374,1.4937185049057007,0.07403773069381714,0.070584736764431,0.8674747943878174,,
20,model.layers.19.self_attn.k_proj.weight,512,1024,0.0009765625,0.0011539499973878264,3.8729963302612305,-3.6913504573021783e-06,0.13177649676799774,0.0008330145501531661,0.24498629570007324,0.22192999720573425,0.011978854425251484,0.5713152885437012,1.3766835927963257,0.0009543741471134126,29.53510093688965,6.55825829198875e-07,1.1670605999825057e-05,7.790976815158501e-05,0.1637304425239563,0.2920835316181183,0.006609356962144375,0.6899499893188477,1.4794062376022339,,,,,
