step,matrix,G_r_spectrum,G_stable_rank_G,G_alignment_GW,G_G_fro,G_energy_top,G_energy_mid,G_energy_tail,G_energy_top_rows,G_energy_tail_rows,G_pangle_Gtop_Wtop_mean,H_r_spectrum,H_stable_rank_G,H_alignment_GW,H_G_fro,H_energy_top,H_energy_mid,H_energy_tail,H_energy_top_rows,H_energy_tail_rows,H_pangle_Gtop_Wtop_mean,snr_diag_median,snr_offdiag_median,spearman_absC_snr
10,model.layers.7.self_attn.q_proj.weight,0.00013880940969102085,2.1440374851226807,-0.0001800313184503466,0.6597785353660583,0.0008586572366766632,0.1810952126979828,0.26549360156059265,0.007282638922333717,0.5200345516204834,1.5362377166748047,0.0002624170738272369,7.829660892486572,0.00357630243524909,0.006774960085749626,0.0006969129317440093,0.26556137204170227,0.2083243727684021,0.010716344229876995,0.4901219606399536,1.5109577178955078,0.07039768993854523,0.07047123461961746,0.8840933442115784
10,model.layers.7.self_attn.k_proj.weight,0.0010636706138029695,3.3163793087005615,9.459372449782677e-06,0.4520989954471588,0.0013733759988099337,0.1543715000152588,0.24897778034210205,0.026994677260518074,0.7021405100822449,1.3387548923492432,0.0012009622296318412,7.080832004547119,-0.0032953887712210417,0.002362652216106653,0.00043023822945542634,0.28564146161079407,0.19149382412433624,0.01657843589782715,0.484067440032959,1.341386079788208,,,
10,model.layers.7.self_attn.v_proj.weight,0.000756838358938694,1.6717902421951294,-0.00043479385203681886,0.9931309223175049,0.0005176232662051916,0.14345259964466095,0.23142994940280914,0.003763397689908743,0.7379633784294128,1.4657224416732788,0.0010279531124979258,6.391485691070557,0.004239307716488838,0.0023222577292472124,0.00035410028067417443,0.18186861276626587,0.2331775575876236,0.007596724666655064,0.6771208047866821,1.4120638370513916,,,
10,model.layers.7.self_attn.o_proj.weight,0.0002235382708022371,1.7905406951904297,-0.000141083772177808,1.6709420680999756,5.500602856045589e-05,0.1222471371293068,0.40443843603134155,0.017825063318014145,0.5985940098762512,1.4359533786773682,0.00031891727121546865,5.7037272453308105,0.00177793821785599,0.00472934078425169,0.00013430094986688346,0.1909000426530838,0.2867434024810791,0.024083105847239494,0.45981815457344055,1.3750838041305542,,,
10,model.layers.15.self_attn.q_proj.weight,0.00015219839406199753,2.767338275909424,-0.00038091166061349213,0.8576489686965942,0.00029723686748184264,0.20379270613193512,0.25056150555610657,0.004118851386010647,0.45774737000465393,1.5453851222991943,0.0002662252227310091,7.589413166046143,0.0015060730511322618,0.007053073961287737,0.0006157024763524532,0.245239719748497,0.22665448486804962,0.0132413599640131,0.46277979016304016,1.5024945735931396,0.07463628053665161,0.06990467756986618,0.8892921805381775
10,model.layers.15.self_attn.k_proj.weight,0.0008871954632923007,4.776945114135742,-3.782673275054549e-06,0.7547686696052551,8.004269329831004e-05,0.22906851768493652,0.24422331154346466,0.003483840497210622,0.5761410593986511,1.4640686511993408,0.001052604173310101,11.883869171142578,0.0004561959358397871,0.0024306548293679953,3.799890691880137e-05,0.27581286430358887,0.21703000366687775,0.00876473356038332,0.4762102961540222,1.4105849266052246,,,
10,model.layers.15.self_attn.v_proj.weight,0.0010128184221684933,1.5008724927902222,5.199469160288572e-05,0.9199396967887878,3.113710044999607e-05,0.20246092975139618,0.26791054010391235,0.0030547978822141886,0.6349220871925354,1.478455901145935,0.0009253401076421142,5.222973346710205,-0.0015465657925233245,0.002423227299004793,0.0001977601641556248,0.21601742506027222,0.24274425208568573,0.006061552092432976,0.5981869697570801,1.4333189725875854,,,
10,model.layers.15.self_attn.o_proj.weight,0.00047729286598041654,1.4802805185317993,1.9236818843637593e-05,1.577470064163208,4.232974970364012e-05,0.07900649309158325,0.48572829365730286,0.017410367727279663,0.6014677882194519,1.4340403079986572,0.000421931006712839,5.505850315093994,-2.8915081202285364e-05,0.004939141217619181,0.00010064159141620621,0.19824612140655518,0.29453593492507935,0.022005150094628334,0.5206891894340515,1.4210469722747803,,,
10,model.layers.19.self_attn.q_proj.weight,0.00022655630891676992,2.6928634643554688,-0.0015533330151811242,0.5403292775154114,0.0012727526482194662,0.20120181143283844,0.25330954790115356,0.014201666228473186,0.4569588899612427,1.5288596153259277,0.00023851139121688902,7.438558101654053,0.0007083003874868155,0.007027788087725639,0.00045887540909461677,0.24199159443378448,0.23565612733364105,0.01676127314567566,0.46223658323287964,1.5032991170883179,0.07429377734661102,0.07213659584522247,0.8764168620109558
10,model.layers.19.self_attn.k_proj.weight,0.0011339435586705804,2.9978911876678467,5.334119123290293e-06,0.5427305698394775,0.0008041842957027256,0.2412736862897873,0.22458979487419128,0.01515138242393732,0.570794403553009,1.3319631814956665,0.0010750917717814445,7.943257808685303,0.00013412396947387606,0.002501372480764985,0.00021280460350681096,0.2772129774093628,0.21014748513698578,0.01978478394448757,0.45618143677711487,1.3085289001464844,,,
10,model.layers.19.self_attn.v_proj.weight,0.0007466804818250239,1.4670497179031372,0.0023605276364833117,0.5296013951301575,0.0036871330812573433,0.15859562158584595,0.25111258029937744,0.012859118171036243,0.6345541477203369,1.4170376062393188,0.0011227841023355722,4.678338050842285,-0.0005312017165124416,0.002483402844518423,0.0005432524485513568,0.2056216150522232,0.2755497694015503,0.008039073087275028,0.5994109511375427,1.4262393712997437,,,
